Episode = 344, Score = -1115.2958006829458, Avg_Score = -252.80829117446072
Episode = 345, Score = 128.834790089079, Avg_Score = -249.93279904568263
Episode = 346, Score = 258.3295825000369, Avg_Score = -246.79364614147312
Episode = 347, Score = -272.3593750061751, Avg_Score = -247.62512634602993
Episode = 348, Score = -78.10543574203749, Avg_Score = -246.7329015246444
Episode = 349, Score = -273.8398574682202, Avg_Score = -248.13187293114973
Episode = 350, Score = -121.76496102196413, Avg_Score = -246.18638915942603
Episode = 351, Score = -454.10211718715897, Avg_Score = -248.49471085371172
Episode = 352, Score = -860.0897669519791, Avg_Score = -256.36895535531016
Episode = 353, Score = 166.55946019451227, Avg_Score = -253.14120888338255
Episode = 354, Score = 248.49184291391356, Avg_Score = -248.39916447030896
Episode = 355, Score = 261.6122247464703, Avg_Score = -247.36995074771104
Episode = 356, Score = -182.1425200837066, Avg_Score = -248.11986880704666
Episode = 357, Score = -82.90223020608516, Avg_Score = -246.43570676298674
Episode = 358, Score = -357.75264537056034, Avg_Score = -249.40414843509214
Episode = 359, Score = 240.57559271743358, Avg_Score = -244.25285272143958
Episode = 360, Score = -195.87379373988864, Avg_Score = -245.72756454507658
Episode = 361, Score = -268.6536462581859, Avg_Score = -244.40340714582982
Episode = 362, Score = -326.0168640018758, Avg_Score = -246.1427639639629
Episode = 363, Score = -88.88848948415217, Avg_Score = -243.2578641577415
Episode = 364, Score = -470.6542031809873, Avg_Score = -246.06833575212727
Episode = 365, Score = -80.66134227551939, Avg_Score = -244.8188225199885
Episode = 366, Score = 170.44160570076667, Avg_Score = -237.5360931428916
Episode = 367, Score = -29.28587824528978, Avg_Score = -234.37125136790954
Episode = 368, Score = -327.7971403738127, Avg_Score = -239.62007510195147
Episode = 369, Score = -204.88217802950672, Avg_Score = -241.01443033566756
Episode = 370, Score = 123.40173467950028, Avg_Score = -241.38090920115195
Episode = 371, Score = -36.909050852942244, Avg_Score = -240.13765844374643
Episode = 372, Score = -150.9169151324348, Avg_Score = -237.80423808915913
Episode = 373, Score = -150.5428148912664, Avg_Score = -238.15895231078858
Episode = 374, Score = -164.21464057601523, Avg_Score = -237.69832346610048
Episode = 375, Score = -701.6164218420098, Avg_Score = -241.3553826330122
Episode = 376, Score = -550.6929792226215, Avg_Score = -243.14933964458473
Episode = 377, Score = -268.3539498504566, Avg_Score = -243.79413938434874
Episode = 378, Score = -489.5037098957062, Avg_Score = -246.91700054262958
Episode = 379, Score = -157.0680564312026, Avg_Score = -244.78370738792833
Episode = 380, Score = -792.1136833620315, Avg_Score = -251.91096800242187
Episode = 381, Score = -339.7559752673945, Avg_Score = -254.21237168039082
Episode = 382, Score = -286.7334728339349, Avg_Score = -256.0074819631828
Episode = 383, Score = -53.926443811984186, Avg_Score = -249.90399453025617
Episode = 384, Score = -280.8153700614096, Avg_Score = -250.769155110472
Episode = 385, Score = -204.92591509639254, Avg_Score = -251.54877796747417
Episode = 386, Score = -269.2370694798684, Avg_Score = -251.77566406969243
Episode = 387, Score = -356.85632756617224, Avg_Score = -253.31329768342727
Episode = 388, Score = -468.5062327408615, Avg_Score = -254.7254639046944
Episode = 389, Score = -388.2639919568221, Avg_Score = -256.06562774259294
Episode = 390, Score = -555.1949595612009, Avg_Score = -258.06172406129184
Episode = 391, Score = -2139.1165904384443, Avg_Score = -279.0746232238251
Episode = 392, Score = -527.9804895047503, Avg_Score = -283.14102521007874
Episode = 393, Score = -934.3528097293406, Avg_Score = -293.6264467886737
Episode = 394, Score = -654.3615742466075, Avg_Score = -297.9942292966101
Episode = 395, Score = -426.3059794691918, Avg_Score = -295.3551080022142
Episode = 396, Score = -681.8444924386264, Avg_Score = -296.7437566475087
Episode = 397, Score = -1091.132231416761, Avg_Score = -304.36346357178996
Episode = 398, Score = -423.3623907839238, Avg_Score = -306.06936808713954
Episode = 399, Score = -480.22452028341365, Avg_Score = -306.82529741513025
